Time [s],Channel 0
259.396154250,1
259.401450000,0
259.401482500,1
259.401514000,0
259.401523000,1
259.401539500,0
259.401564500,1
259.401573000,0
259.401590000,1
259.401598500,0
259.401607500,1
259.401616000,0
259.401625000,1
259.401633500,0
259.401650500,1
259.401667000,0
259.401692000,1
259.401700500,0
259.401709500,1
259.401718000,0
259.401727000,1
259.401735500,0
259.401768500,1
259.401777000,0
259.401786000,1
259.401818500,0
259.401827500,1
259.401844000,0
259.401861000,1
259.401869500,0
259.401902500,1
259.401927000,0
259.401936000,1
259.401944500,0
259.401961500,1
259.401978000,0
259.401987000,1
259.402011500,0
259.402028500,1
259.402037000,0
259.402046000,1
259.402054500,0
259.402063500,1
259.402072000,0
259.402089000,1
259.402105500,0
259.402114500,1
259.402147000,0
259.402156000,1
259.402172500,0
259.402181500,1
259.402190000,0
259.402199000,1
259.402231500,0
259.402240500,1
259.402249000,0
259.402266000,1
259.402282500,0
259.402307500,1
259.402316000,0
259.402325000,1
259.402333500,0
259.402342500,1
259.402351000,0
259.402360000,1
259.402368500,0
259.402385500,1
259.402394000,0
259.402411000,1
259.402419500,0
259.402428500,1
259.402445000,0
259.402462000,1
259.416551250,0
259.416583750,1
259.416615250,0
259.416624250,1
259.416640750,0
259.416657750,1
259.416666250,0
259.416675250,1
259.416691750,0
259.416708750,1
259.416717250,0
259.416726250,1
259.416734750,0
259.416751750,1
259.416776250,0
259.416793250,1
259.416801750,0
259.416834750,1
259.416843250,0
259.416876250,1
259.416892750,0
259.416917750,1
259.416926250,0
259.416959250,1
259.416983750,0
259.416992750,1
259.417001250,0
259.417018250,1
259.417026750,0
259.417043750,1
259.417076250,0
259.417085250,1
259.417093750,0
259.417110750,1
259.417119250,0
259.417136250,1
259.417144500,0
259.417153250,1
259.451650500,0
259.451683000,1
259.451714500,0
259.451723500,1
259.451740000,0
259.451765000,1
259.451773500,0
259.451790500,1
259.451799000,0
259.451808000,1
259.451816500,0
259.451825500,1
259.451834000,0
259.451851000,1
259.451867500,0
259.451892500,1
259.451901000,0
259.451910000,1
259.451918500,0
259.451927500,1
259.451936000,0
259.451961000,1
259.451969500,0
259.451978500,1
259.451995000,0
259.452004000,1
259.452012500,0
259.452021500,1
259.452038000,0
259.452047000,1
259.452055500,0
259.452064500,1
259.452073000,0
259.452106000,1
259.452130500,0
259.452139500,1
259.452148000,0
259.452157000,1
259.452165500,0
259.452190500,1
259.452199000,0
259.452208000,1
259.452224500,0
259.452233500,1
259.452242000,0
259.452251000,1
259.452259500,0
259.452268500,1
259.452277000,0
259.452294000,1
259.452310500,0
259.452319500,1
259.452360000,0
259.452385000,1
259.452393500,0
259.452402500,1
259.452435000,0
259.452444000,1
259.452452500,0
259.452469500,1
259.452486000,0
259.452503000,1
259.452511500,0
259.452528500,1
259.452537000,0
259.452546000,1
259.452562500,0
259.452571500,1
259.452580000,0
259.452589000,1
259.452605500,0
259.452614500,1
259.452631000,0
259.452640000,1
259.452648500,0
259.452665500,1
259.470264250,0
259.470296250,1
259.470328000,0
259.470336500,1
259.470344750,0
259.470353500,1
259.470361750,0
259.470370500,1
259.470378750,0
259.470387250,1
259.470411500,0
259.470420250,1
259.470428500,0
259.470437000,1
259.470445500,0
259.470462000,1
259.470486250,0
259.470502750,1
259.470511000,0
259.470527750,1
259.470536000,0
259.470544500,1
259.470553000,0
259.470585500,1
259.470593750,0
259.470618250,1
259.470626500,0
259.470635250,1
259.470659500,0
259.470668000,1
259.470684250,0
259.470708750,1
259.470725000,0
259.470733750,1
259.470742000,0
259.470750750,1
259.470759000,0
259.470767500,1
259.470775750,0
259.470784500,1
259.470792750,0
259.470841250,1
259.470850000,0
259.470858750,1
259.471714500,0
259.471747000,1
259.471778500,0
259.471787500,1
259.471796000,0
259.471805000,1
259.471813500,0
259.471830500,1
259.471855000,0
259.471864000,1
259.471872500,0
259.471881500,1
259.471898000,0
259.471915000,1
259.471931500,0
259.471956500,1
259.471981000,0
259.471998000,1
259.472006500,0
259.472031500,1
259.472040000,0
259.472081000,1
259.472089500,0
259.472122500,1
259.472131000,0
259.472148000,1
259.472164500,0
259.472173500,1
259.472182000,0
259.472191000,1
259.472207500,0
259.472248500,1
259.472257000,0
259.472274000,1
259.472282500,0
259.472291500,1
259.472300000,0
259.472333000,1
259.472341500,0
259.472374500,1
259.472415000,0
259.472424000,1
259.472456500,0
259.472465500,1
259.472498000,0
259.472507000,1
259.472539500,0
259.472548500,1
259.472573000,0
259.472582000,1
259.472606500,0
259.472623500,1
259.472640000,0
259.472665000,1
259.472681500,0
259.472690500,1
259.472699000,0
259.472716000,1
259.475331750,0
259.475363500,1
259.475395000,0
259.475403500,1
259.475412000,0
259.475420500,1
259.475436750,0
259.475445250,1
259.475453500,0
259.475462000,1
259.475478250,0
259.475486750,1
259.475495000,0
259.475503750,1
259.475512000,0
259.475528500,1
259.475552500,0
259.475569000,1
259.475577250,0
259.475609500,1
259.475618000,0
259.475650250,1
259.475658500,0
259.475690750,1
259.475699250,0
259.475731500,1
259.475739750,0
259.475772000,1
259.475796250,0
259.475812750,1
259.475821000,0
259.475853250,1
259.475861750,0
259.475870250,1
259.475878500,0
259.475895000,1
259.475935000,0
259.475943500,1
259.475975500,0
259.475984000,1
259.476016250,0
259.476024750,1
259.476056750,0
259.476097000,1
259.476105250,0
259.476137500,1
259.476177750,0
259.476186250,1
259.476218250,0
259.476226750,1
259.476258750,0
259.476267500,1
259.476299500,0
259.476308000,1
259.476340000,0
259.476348500,1
259.476380750,0
259.476421000,1
259.476429250,0
259.476461500,1
259.476469750,0
259.476478250,1
259.476502500,0
259.476534750,1
259.476543250,0
259.476575500,1
259.476583750,0
259.476600250,1
259.476608500,0
259.476633000,1
259.476641750,0
259.476650750,1
259.493618750,0
259.493651000,1
259.493682750,0
259.493691500,1
259.493699750,0
259.493708500,1
259.493716750,0
259.493733500,1
259.493741750,0
259.493750500,1
259.493766750,0
259.493775500,1
259.493783750,0
259.493792500,1
259.493800750,0
259.493817500,1
259.493841750,0
259.493858500,1
259.493866750,0
259.493891500,1
259.493899750,0
259.493940500,1
259.493948750,0
259.493981500,1
259.493989750,0
259.494022500,1
259.494030750,0
259.494063500,1
259.494071750,0
259.494104500,1
259.494112750,0
259.494145500,1
259.494153750,0
259.494186500,1
259.494194750,0
259.494227500,1
259.494251750,0
259.494260500,1
259.494268750,0
259.494285500,1
259.494301750,0
259.494310500,1
259.494326750,0
259.494343500,1
259.494351750,0
259.494376500,1
259.494384750,0
259.494393500,1
259.494425750,0
259.494442500,1
259.494451250,0
259.494460000,1
259.501924000,0
259.501956500,1
259.501988000,0
259.501997000,1
259.502013500,0
259.502038500,1
259.502047000,0
259.502064000,1
259.502072500,0
259.502081500,1
259.502090000,0
259.502099000,1
259.502107500,0
259.502124500,1
259.502141000,0
259.502166000,1
259.502174500,0
259.502183500,1
259.502192000,0
259.502201000,1
259.502209500,0
259.502234500,1
259.502243000,0
259.502252000,1
259.502292500,0
259.502309500,1
259.502318000,0
259.502335000,1
259.502343500,0
259.502376500,1
259.502401000,0
259.502410000,1
259.502418500,0
259.502427500,1
259.502436000,0
259.502445000,1
259.502453500,0
259.502462500,1
259.502503000,0
259.502520000,1
259.502528500,0
259.502537500,1
259.502546000,0
259.502563000,1
259.502579500,0
259.502588500,1
259.502629000,0
259.502638000,1
259.502646500,0
259.502655500,1
259.502664000,0
259.502673000,1
259.502705500,0
259.502714500,1
259.502723000,0
259.502732000,1
259.502756500,0
259.502765500,1
259.502782000,0
259.502799000,1
259.502815500,0
259.502824500,1
259.502841000,0
259.502858000,1
259.502866500,0
259.502875500,1
259.502884000,0
259.502901000,1
259.502917500,0
259.502934500,1
259.517007750,0
259.517040250,1
259.517071750,0
259.517080750,1
259.517097250,0
259.517122250,1
259.517138750,0
259.517147750,1
259.517156250,0
259.517165250,1
259.517173750,0
259.517182750,1
259.517191250,0
259.517208250,1
