t_s,wall_time,spd_count,data0,data1,rpm_count,seq
0.876,23:21:52.323,0,28,24,7192,108
1.615,23:21:53.057,0,28,20,7188,108
1.615,23:21:53.059,0,28,54,7222,108
1.615,23:21:53.059,0,28,28,7196,109
1.615,23:21:53.060,0,27,226,7138,109
1.615,23:21:53.060,0,27,250,7162,109
1.615,23:21:53.060,0,28,24,7192,110
1.615,23:21:53.061,0,27,234,7146,110
1.615,23:21:53.061,0,27,236,7148,110
1.615,23:21:53.061,0,27,252,7164,111
1.615,23:21:53.074,0,28,20,7188,111
1.615,23:21:53.074,0,28,26,7194,111
1.615,23:21:53.074,0,28,48,7216,111
2.338,23:21:53.780,0,28,2,7170,111
2.338,23:21:53.781,0,28,22,7190,112
2.338,23:21:53.781,0,28,40,7208,112
2.338,23:21:53.781,0,28,38,7206,112
2.338,23:21:53.781,0,28,54,7222,112
2.338,23:21:53.782,0,28,84,7252,113
2.338,23:21:53.782,0,28,90,7258,113
2.338,23:21:53.782,0,28,96,7264,113
2.338,23:21:53.782,0,27,252,7164,113
2.338,23:21:53.782,0,28,20,7188,114
2.338,23:21:53.782,0,28,44,7212,114
2.338,23:21:53.783,0,27,254,7166,114
2.338,23:21:53.783,0,28,10,7178,114
2.338,23:21:53.783,0,28,50,7218,115
2.338,23:21:53.783,0,28,82,7250,115
2.999,23:21:54.442,0,28,32,7200,115
2.999,23:21:54.442,0,28,38,7206,115
2.999,23:21:54.442,0,28,10,7178,115
2.999,23:21:54.443,0,28,22,7190,116
2.999,23:21:54.443,0,28,24,7192,116
2.999,23:21:54.443,0,28,8,7176,116
2.999,23:21:54.443,0,27,244,7156,116
2.999,23:21:54.443,0,27,240,7152,117
2.999,23:21:54.443,0,28,22,7190,117
2.999,23:21:54.444,0,28,18,7186,117
2.999,23:21:54.444,0,28,36,7204,117
2.999,23:21:54.444,0,28,42,7210,117
3.644,23:21:55.087,0,28,60,7228,117
3.644,23:21:55.088,0,28,68,7236,118
3.644,23:21:55.088,0,28,28,7196,118
3.644,23:21:55.088,0,27,234,7146,118
3.644,23:21:55.089,0,28,48,7216,119
3.644,23:21:55.089,0,28,56,7224,119
3.644,23:21:55.089,0,28,28,7196,119
3.644,23:21:55.089,0,28,54,7222,119
3.644,23:21:55.089,0,28,56,7224,120
3.644,23:21:55.092,0,28,74,7242,120
3.644,23:21:55.092,0,28,62,7230,120
3.644,23:21:55.092,0,28,48,7216,120
4.325,23:21:55.769,0,28,46,7214,121
4.325,23:21:55.769,0,28,28,7196,121
4.325,23:21:55.769,0,28,12,7180,121
4.325,23:21:55.769,0,28,42,7210,121
4.325,23:21:55.770,0,27,234,7146,121
4.325,23:21:55.770,0,27,214,7126,121
4.325,23:21:55.770,0,27,218,7130,122
4.325,23:21:55.770,0,27,234,7146,122
4.325,23:21:55.770,0,28,32,7200,122
4.325,23:21:55.771,0,28,46,7214,122
4.325,23:21:55.771,0,28,40,7208,123
4.325,23:21:55.771,0,28,6,7174,123
4.325,23:21:55.771,0,28,10,7178,123
4.990,23:21:56.432,0,28,46,7214,123
4.990,23:21:56.434,0,28,82,7250,124
4.990,23:21:56.434,0,28,112,7280,124
4.990,23:21:56.436,0,28,38,7206,124
4.990,23:21:56.436,0,27,216,7128,124
4.990,23:21:56.436,0,27,156,7068,124
4.990,23:21:56.436,0,27,220,7132,124
4.990,23:21:56.436,0,27,224,7136,125
4.990,23:21:56.436,0,27,240,7152,125
4.990,23:21:56.437,0,28,40,7208,125
4.990,23:21:56.437,0,28,38,7206,125
4.990,23:21:56.437,0,28,92,7260,126
4.990,23:21:56.437,0,28,62,7230,126
5.560,23:21:57.003,0,28,54,7222,126
5.560,23:21:57.004,0,28,22,7190,127
5.560,23:21:57.004,0,28,38,7206,127
5.560,23:21:57.004,0,28,72,7240,127
5.560,23:21:57.004,0,28,56,7224,127
5.560,23:21:57.004,0,28,60,7228,127
5.560,23:21:57.005,0,28,74,7242,127
5.560,23:21:57.005,0,28,38,7206,128
5.560,23:21:57.005,0,28,84,7252,128
5.560,23:21:57.006,0,28,56,7224,128
5.560,23:21:57.006,0,28,12,7180,128
6.165,23:21:57.608,0,28,8,7176,129
6.165,23:21:57.608,0,28,0,7168,129
6.165,23:21:57.609,0,28,70,7238,129
6.165,23:21:57.609,0,28,98,7266,129
6.165,23:21:57.609,0,28,128,7296,130
6.165,23:21:57.611,0,28,134,7302,130
6.165,23:21:57.611,0,28,44,7212,130
6.165,23:21:57.611,0,28,28,7196,130
6.165,23:21:57.612,0,27,240,7152,130
6.165,23:21:57.612,0,27,216,7128,130
6.165,23:21:57.612,0,28,30,7198,131
6.165,23:21:57.612,0,28,16,7184,131
6.768,23:21:58.211,0,28,20,7188,131
6.768,23:21:58.212,0,28,36,7204,131
6.768,23:21:58.212,0,28,26,7194,132
6.768,23:21:58.212,0,28,28,7196,132
6.768,23:21:58.212,0,28,30,7198,132
6.768,23:21:58.212,0,28,14,7182,132
6.768,23:21:58.213,0,28,84,7252,133
6.768,23:21:58.213,0,28,84,7252,133
6.768,23:21:58.213,0,28,18,7186,133
6.768,23:21:58.214,0,27,250,7162,133
6.768,23:21:58.214,0,28,36,7204,133
7.355,23:21:58.799,0,28,84,7252,134
7.355,23:21:58.799,0,28,44,7212,134
7.355,23:21:58.799,0,28,66,7234,134
7.355,23:21:58.800,0,28,50,7218,134
