t_s,wall_time,spd_count,data0,data1,rpm_count,seq
74.753,23:23:06.198,14,85,34,21794,126
74.753,23:23:06.198,14,85,244,22004,130
74.753,23:23:06.199,14,86,22,22038,130
74.753,23:23:06.199,14,86,110,22126,134
74.753,23:23:06.199,14,87,12,22284,134
75.324,23:23:06.766,14,87,78,22350,138
75.324,23:23:06.767,15,88,112,22640,142
75.324,23:23:06.767,15,88,176,22704,146
75.324,23:23:06.767,15,88,242,22770,146
75.324,23:23:06.767,15,89,226,23010,150
75.324,23:23:06.768,15,90,50,23090,154
75.324,23:23:06.768,15,90,152,23192,154
75.324,23:23:06.768,15,90,140,23180,159
75.924,23:23:07.366,16,90,226,23266,163
75.924,23:23:07.367,16,91,186,23482,168
75.924,23:23:07.367,16,91,200,23496,168
75.924,23:23:07.368,16,91,190,23486,168
75.924,23:23:07.368,16,89,192,22976,176
75.924,23:23:07.368,16,86,186,22202,176
75.924,23:23:07.368,16,84,50,21554,176
75.924,23:23:07.368,16,81,128,20864,179
76.523,23:23:07.966,16,81,12,20748,181
76.523,23:23:07.967,16,82,106,21098,181
76.523,23:23:07.968,16,83,96,21344,182
76.523,23:23:07.968,16,82,162,21154,183
76.523,23:23:07.968,16,81,168,20904,183
76.523,23:23:07.969,16,82,6,20998,184
76.523,23:23:07.969,16,81,180,20916,184
76.523,23:23:07.969,16,80,252,20732,184
77.139,23:23:08.581,16,80,132,20612,184
77.139,23:23:08.583,16,80,88,20568,184
77.139,23:23:08.583,16,79,240,20464,184
77.139,23:23:08.583,16,79,98,20322,184
77.139,23:23:08.584,16,79,12,20236,184
77.139,23:23:08.584,16,79,22,20246,184
77.139,23:23:08.584,16,78,110,20078,184
77.139,23:23:08.585,16,78,46,20014,184
77.139,23:23:08.585,16,78,16,19984,184
77.139,23:23:08.585,16,77,128,19840,184
77.139,23:23:08.586,16,77,34,19746,184
77.139,23:23:08.586,16,76,230,19686,184
77.804,23:23:09.247,16,76,124,19580,184
77.804,23:23:09.248,16,76,102,19558,184
77.804,23:23:09.248,15,75,186,19386,184
77.804,23:23:09.248,15,75,80,19280,184
77.804,23:23:09.249,15,75,120,19320,184
77.804,23:23:09.249,15,74,102,19046,184
77.804,23:23:09.249,15,74,58,19002,184
77.804,23:23:09.249,15,74,36,18980,184
77.804,23:23:09.250,15,73,184,18872,184
77.804,23:23:09.250,15,73,126,18814,184
77.804,23:23:09.250,15,73,82,18770,184
78.373,23:23:09.815,15,72,208,18640,184
78.373,23:23:09.817,15,72,138,18570,184
78.373,23:23:09.817,15,72,106,18538,184
78.373,23:23:09.817,15,71,172,18348,184
78.373,23:23:09.818,15,71,102,18278,184
78.373,23:23:09.818,14,71,72,18248,184
78.373,23:23:09.818,14,70,254,18174,184
78.373,23:23:09.818,14,70,162,18082,184
78.373,23:23:09.819,14,70,52,17972,184
78.927,23:23:10.370,14,69,168,17832,184
78.927,23:23:10.371,14,69,132,17796,184
78.927,23:23:10.371,14,69,130,17794,184
78.927,23:23:10.371,14,68,170,17578,184
78.927,23:23:10.371,14,68,152,17560,184
78.927,23:23:10.372,14,68,116,17524,184
78.927,23:23:10.372,14,67,190,17342,184
78.927,23:23:10.372,14,67,142,17294,184
78.927,23:23:10.373,14,67,184,17336,184
79.495,23:23:10.938,14,66,178,17074,184
79.495,23:23:10.939,14,66,144,17040,184
79.495,23:23:10.939,13,66,162,17058,184
79.495,23:23:10.939,13,65,170,16810,184
79.495,23:23:10.940,13,65,138,16778,184
79.495,23:23:10.940,13,65,136,16776,184
79.495,23:23:10.940,13,64,82,16466,184
79.495,23:23:10.941,13,64,110,16494,184
79.495,23:23:10.941,13,64,116,16500,184
80.142,23:23:11.585,13,63,80,16208,184
80.142,23:23:11.586,13,63,96,16224,184
80.142,23:23:11.586,13,63,52,16180,184
80.142,23:23:11.586,13,62,162,16034,184
80.142,23:23:11.587,13,62,38,15910,184
80.142,23:23:11.587,13,62,70,15942,184
80.142,23:23:11.587,13,61,252,15868,184
80.142,23:23:11.587,12,61,26,15642,184
80.142,23:23:11.588,12,61,30,15646,184
80.142,23:23:11.588,12,60,222,15582,184
80.142,23:23:11.588,12,59,210,15314,184
80.759,23:23:12.202,12,59,246,15350,184
80.759,23:23:12.203,12,59,136,15240,184
80.759,23:23:12.203,12,58,224,15072,184
80.759,23:23:12.203,12,58,90,14938,184
80.759,23:23:12.204,12,58,88,14936,184
80.759,23:23:12.204,12,58,10,14858,184
80.759,23:23:12.204,12,57,52,14644,184
80.759,23:23:12.205,12,56,174,14510,184
80.759,23:23:12.205,12,56,144,14480,184
80.759,23:23:12.205,12,56,110,14446,184
80.759,23:23:12.207,11,55,166,14246,184
80.759,23:23:12.207,11,54,252,14076,184
81.363,23:23:12.806,11,54,150,13974,184
81.363,23:23:12.807,11,54,104,13928,184
81.363,23:23:12.807,11,53,10,13578,184
81.363,23:23:12.807,11,52,158,13470,184
81.363,23:23:12.807,11,52,14,13326,184
81.363,23:23:12.808,11,51,184,13240,184
81.363,23:23:12.808,11,50,244,13044,184
81.363,23:23:12.808,11,50,70,12870,184
81.363,23:23:12.809,10,49,166,12710,184
82.026,23:23:13.469,10,48,80,12368,184
82.026,23:23:13.470,10,47,146,12178,184
82.026,23:23:13.470,10,46,180,11956,184
82.026,23:23:13.470,10,46,92,11868,184
82.026,23:23:13.471,10,44,102,11366,184
82.026,23:23:13.471,10,39,250,10234,184
82.026,23:23:13.471,10,36,196,9412,184
82.026,23:23:13.471,9,35,22,8982,184
82.026,23:23:13.472,9,33,148,8596,184
82.026,23:23:13.472,9,33,254,8702,184
82.026,23:23:13.472,9,36,28,9244,184
82.644,23:23:14.087,9,36,162,9378,184
82.644,23:23:14.088,9,36,232,9448,185
82.644,23:23:14.088,9,36,178,9394,185
82.644,23:23:14.088,8,36,114,9330,186
82.644,23:23:14.089,8,36,14,9230,186
82.644,23:23:14.089,8,35,190,9150,186
82.644,23:23:14.089,8,35,84,9044,187
82.644,23:23:14.090,8,34,212,8916,187
82.644,23:23:14.090,8,34,100,8804,188
82.644,23:23:14.090,8,34,18,8722,188
82.644,23:23:14.091,7,33,180,8628,188
83.261,23:23:14.704,7,33,156,8604,188
83.261,23:23:14.705,7,33,36,8484,189
83.261,23:23:14.705,7,32,148,8340,189
83.261,23:23:14.706,7,32,32,8224,189
83.261,23:23:14.707,7,31,246,8182,189
83.261,23:23:14.707,7,31,78,8014,189
83.261,23:23:14.707,7,30,200,7880,189
83.261,23:23:14.707,7,30,168,7848,190
83.261,23:23:14.708,6,30,36,7716,190
83.261,23:23:14.708,6,29,178,7602,190
83.261,23:23:14.708,6,29,86,7510,190
83.261,23:23:14.709,6,28,142,7310,191
83.261,23:23:14.709,6,28,68,7236,191
83.906,23:23:15.348,6,27,160,7072,191
83.906,23:23:15.349,6,27,116,7028,191
83.906,23:23:15.349,6,27,30,6942,192
83.906,23:23:15.349,6,26,234,6890,192
83.906,23:23:15.350,5,26,52,6708,192
83.906,23:23:15.350,5,25,216,6616,192
83.906,23:23:15.350,5,25,144,6544,193
83.906,23:23:15.350,5,25,60,6460,193
83.906,23:23:15.351,5,24,190,6334,193
83.906,23:23:15.351,4,24,84,6228,193
84.506,23:23:15.948,4,23,200,6088,194
84.506,23:23:15.949,4,23,234,6122,194
84.506,23:23:15.949,4,24,46,6190,194
84.506,23:23:15.949,4,24,200,6344,195
84.506,23:23:15.949,3,26,214,6870,195
84.506,23:23:15.950,3,27,98,7010,197
84.506,23:23:15.950,3,25,142,6542,197
85.169,23:23:16.612,2,24,96,6240,198
85.169,23:23:16.613,2,24,26,6170,198
85.169,23:23:16.613,2,23,196,6084,198
85.169,23:23:16.613,2,23,138,6026,198
85.169,23:23:16.614,2,23,186,6074,199
85.169,23:23:16.614,2,23,216,6104,199
85.169,23:23:16.614,2,23,236,6124,199
85.169,23:23:16.614,1,24,22,6166,199
85.169,23:23:16.615,1,24,156,6300,200
85.169,23:23:16.615,1,24,206,6350,200
85.169,23:23:16.615,1,25,38,6438,200
85.169,23:23:16.616,1,26,38,6694,200
85.772,23:23:17.214,1,26,154,6810,201
85.772,23:23:17.215,1,26,244,6900,201
85.772,23:23:17.215,1,27,34,6946,201
85.772,23:23:17.215,1,27,6,6918,201
85.772,23:23:17.217,1,27,12,6924,202
85.772,23:23:17.217,1,27,34,6946,202
85.772,23:23:17.217,0,26,200,6856,202
85.772,23:23:17.218,0,26,180,6836,202
85.772,23:23:17.218,0,26,222,6878,203
85.772,23:23:17.218,0,26,204,6860,204
85.772,23:23:17.218,0,26,238,6894,204
86.341,23:23:17.783,0,27,2,6914,204
86.341,23:23:17.785,0,26,224,6880,204
86.341,23:23:17.785,0,26,180,6836,205
86.341,23:23:17.786,0,26,208,6864,205
86.341,23:23:17.786,0,26,232,6888,205
86.341,23:23:17.786,0,27,10,6922,206
86.341,23:23:17.786,0,27,46,6958,206
86.341,23:23:17.787,0,27,12,6924,206
86.341,23:23:17.787,0,27,38,6950,206
86.341,23:23:17.787,0,27,38,6950,207
86.895,23:23:18.338,0,27,8,6920,207
86.895,23:23:18.338,0,27,8,6920,207
86.895,23:23:18.338,0,27,10,6922,207
86.895,23:23:18.339,0,27,40,6952,208
86.895,23:23:18.339,0,27,62,6974,208
86.895,23:23:18.339,0,27,28,6940,209
86.895,23:23:18.340,0,27,56,6968,209
86.895,23:23:18.340,0,27,40,6952,209
86.895,23:23:18.340,0,27,10,6922,209
86.895,23:23:18.341,0,27,30,6942,210
86.895,23:23:18.341,0,27,16,6928,210
87.479,23:23:18.921,0,26,228,6884,210
87.479,23:23:18.923,0,27,0,6912,210
87.479,23:23:18.923,0,26,246,6902,211
87.479,23:23:18.923,0,26,244,6900,211
87.479,23:23:18.924,0,27,18,6930,212
87.479,23:23:18.924,0,26,184,6840,212
87.479,23:23:18.924,0,26,192,6848,212
87.479,23:23:18.925,0,26,206,6862,212
87.479,23:23:18.926,0,26,202,6858,212
87.479,23:23:18.926,0,26,234,6890,212
87.479,23:23:18.926,0,26,250,6906,213
87.479,23:23:18.926,0,26,244,6900,213
88.126,23:23:19.569,0,26,228,6884,214
88.126,23:23:19.570,0,26,218,6874,214
88.126,23:23:19.570,0,27,4,6916,214
88.126,23:23:19.570,0,27,34,6946,214
88.126,23:23:19.570,0,26,242,6898,215
88.126,23:23:19.571,0,26,166,6822,215
88.126,23:23:19.571,0,26,154,6810,215
88.126,23:23:19.571,0,26,196,6852,216
88.126,23:23:19.572,0,26,204,6860,216
88.126,23:23:19.572,0,26,210,6866,216
88.126,23:23:19.572,0,26,232,6888,216
88.126,23:23:19.572,0,26,182,6838,217
88.771,23:23:20.214,0,26,172,6828,217
88.771,23:23:20.215,0,26,212,6868,217
88.771,23:23:20.215,0,26,220,6876,217
88.771,23:23:20.215,0,27,24,6936,218
88.771,23:23:20.216,0,27,40,6952,218
88.771,23:23:20.216,0,26,194,6850,219
88.771,23:23:20.216,0,26,156,6812,219
88.771,23:23:20.216,0,26,156,6812,219
88.771,23:23:20.217,0,26,170,6826,220
88.771,23:23:20.217,0,26,192,6848,220
88.771,23:23:20.217,0,26,166,6822,220
89.341,23:23:20.783,0,26,132,6788,221
89.341,23:23:20.783,0,26,144,6800,221
89.341,23:23:20.783,0,26,148,6804,221
89.341,23:23:20.783,0,26,154,6810,222
89.341,23:23:20.785,0,26,190,6846,222
89.341,23:23:20.785,0,26,190,6846,222
89.341,23:23:20.785,0,26,176,6832,223
89.341,23:23:20.785,0,26,94,6750,223
89.990,23:23:21.433,0,26,118,6774,223
89.990,23:23:21.434,0,26,102,6758,224
89.990,23:23:21.434,0,26,190,6846,225
89.990,23:23:21.434,0,26,164,6820,225
89.990,23:23:21.435,0,26,160,6816,225
89.990,23:23:21.435,0,26,112,6768,225
89.990,23:23:21.435,0,26,114,6770,225
89.990,23:23:21.435,0,26,120,6776,226
89.990,23:23:21.436,0,26,148,6804,227
89.990,23:23:21.436,0,26,108,6764,227
90.603,23:23:22.046,0,26,136,6792,227
90.603,23:23:22.046,0,26,220,6876,227
90.603,23:23:22.046,0,26,240,6896,228
90.603,23:23:22.047,0,26,224,6880,228
90.603,23:23:22.047,0,26,168,6824,228
90.603,23:23:22.047,0,26,172,6828,228
90.603,23:23:22.048,0,26,180,6836,229
90.603,23:23:22.048,0,26,150,6806,229
90.603,23:23:22.048,0,26,112,6768,229
90.603,23:23:22.049,0,26,120,6776,229
90.603,23:23:22.049,0,26,162,6818,230
90.603,23:23:22.049,0,26,184,6840,230
91.203,23:23:22.646,0,26,232,6888,230
91.203,23:23:22.647,0,29,40,7464,231
91.203,23:23:22.647,0,30,164,7844,231
91.203,23:23:22.647,0,34,156,8860,232
91.203,23:23:22.648,0,41,136,10632,233
91.203,23:23:22.648,0,45,104,11624,233
91.203,23:23:22.648,0,47,138,12170,235
91.203,23:23:22.648,0,50,234,13034,236
91.203,23:23:22.649,0,52,88,13400,236
91.848,23:23:23.291,0,53,12,13580,238
91.848,23:23:23.292,0,54,40,13864,242
91.848,23:23:23.292,0,54,50,13874,242
91.848,23:23:23.292,1,54,124,13948,244
91.848,23:23:23.293,1,54,142,13966,244
91.848,23:23:23.293,1,54,212,14036,245
91.848,23:23:23.293,1,54,154,13978,247
91.848,23:23:23.294,1,54,82,13906,247
91.848,23:23:23.294,2,53,136,13704,249
92.538,23:23:23.982,2,51,120,13176,251
92.538,23:23:23.982,2,50,210,13010,251
92.538,23:23:23.982,2,50,30,12830,253
92.538,23:23:23.983,2,49,132,12676,254
92.538,23:23:23.983,3,49,54,12598,254
92.538,23:23:23.983,3,48,254,12542,0
92.538,23:23:23.984,3,49,18,12562,0
92.538,23:23:23.984,3,49,134,12678,1
92.538,23:23:23.984,3,49,162,12706,1
92.538,23:23:23.985,3,49,252,12796,2
92.538,23:23:23.985,3,50,152,12952,4
93.154,23:23:24.597,4,50,208,13008,4
93.154,23:23:24.598,4,51,102,13158,5
93.154,23:23:24.598,4,52,158,13470,7
93.154,23:23:24.598,4,52,252,13564,7
93.154,23:23:24.599,4,53,166,13734,8
93.154,23:23:24.599,4,54,38,13862,8
93.154,23:23:24.599,4,54,166,13990,10
93.154,23:23:24.599,4,55,214,14294,11
93.154,23:23:24.600,4,56,62,14398,13
93.154,23:23:24.600,5,56,198,14534,13
93.708,23:23:25.151,5,57,112,14704,15
93.708,23:23:25.152,5,57,236,14828,15
93.708,23:23:25.152,5,58,230,15078,16
93.708,23:23:25.152,5,58,100,14948,18
93.708,23:23:25.153,5,57,236,14828,18
93.708,23:23:25.153,5,57,220,14812,19
93.708,23:23:25.153,5,58,122,14970,21
93.708,23:23:25.154,5,58,212,15060,21
94.324,23:23:25.767,5,59,124,15228,22
94.324,23:23:25.768,5,59,206,15310,23
94.324,23:23:25.768,5,60,40,15400,23
94.324,23:23:25.768,5,60,126,15486,25
94.324,23:23:25.769,5,60,222,15582,25
94.324,23:23:25.769,6,61,90,15706,26
94.324,23:23:25.769,6,61,162,15778,26
94.324,23:23:25.770,6,60,226,15586,27
94.324,23:23:25.770,6,60,100,15460,29
94.324,23:23:25.770,6,59,48,15152,29
94.324,23:23:25.772,6,58,50,14898,30
94.895,23:23:26.338,6,56,152,14488,30
94.895,23:23:26.339,6,54,66,13890,31
94.895,23:23:26.339,6,48,244,12532,31
94.895,23:23:26.339,6,45,214,11734,32
94.895,23:23:26.341,6,43,212,11220,32
94.895,23:23:26.341,6,39,246,10230,32
94.895,23:23:26.341,6,37,8,9480,32
94.895,23:23:26.342,6,33,250,8698,33
94.895,23:23:26.342,6,32,126,8318,33
94.895,23:23:26.342,6,31,150,8086,33
95.495,23:23:26.938,6,31,86,8022,34
95.495,23:23:26.939,6,30,254,7934,34
95.495,23:23:26.939,6,30,186,7866,34
95.495,23:23:26.939,6,30,166,7846,34
95.495,23:23:26.939,6,30,160,7840,34
95.495,23:23:26.940,6,30,168,7848,34
95.495,23:23:26.940,6,30,180,7860,35
95.495,23:23:26.940,6,30,182,7862,35
95.495,23:23:26.940,6,30,188,7868,35
95.495,23:23:26.941,6,30,218,7898,35
95.495,23:23:26.941,6,30,194,7874,36
95.495,23:23:26.941,6,30,182,7862,36
96.094,23:23:27.537,6,30,140,7820,36
96.094,23:23:27.538,6,30,86,7766,36
96.094,23:23:27.538,6,30,100,7780,36
96.094,23:23:27.538,6,30,90,7770,36
96.094,23:23:27.539,6,30,94,7774,37
96.094,23:23:27.539,6,30,128,7808,37
96.094,23:23:27.539,6,30,162,7842,37
96.094,23:23:27.539,6,30,226,7906,37
96.094,23:23:27.540,6,31,6,7942,38
96.094,23:23:27.540,6,31,34,7970,38
96.094,23:23:27.540,6,31,84,8020,38
96.094,23:23:27.541,6,31,102,8038,38
96.648,23:23:28.091,6,31,90,8026,39
96.648,23:23:28.093,6,31,82,8018,39
96.648,23:23:28.093,6,31,90,8026,39
96.648,23:23:28.094,6,31,106,8042,40
96.648,23:23:28.094,6,31,32,7968,40
96.648,23:23:28.094,6,31,30,7966,40
96.648,23:23:28.095,6,31,4,7940,41
96.648,23:23:28.095,6,31,26,7962,41
96.648,23:23:28.095,6,30,236,7916,41
97.325,23:23:28.768,6,30,126,7806,41
97.325,23:23:28.769,6,30,72,7752,42
97.325,23:23:28.769,6,29,110,7534,42
97.325,23:23:28.769,6,28,2,7170,43
97.325,23:23:28.770,5,27,148,7060,43
97.325,23:23:28.770,5,27,88,7000,43
97.325,23:23:28.770,5,26,136,6792,43
97.325,23:23:28.771,5,26,22,6678,43
97.325,23:23:28.771,5,25,228,6628,43
97.325,23:23:28.771,5,26,2,6658,44
97.325,23:23:28.772,5,26,26,6682,44
97.325,23:23:28.772,5,25,242,6642,44
97.972,23:23:29.415,5,25,240,6640,44
97.972,23:23:29.416,5,25,218,6618,45
97.972,23:23:29.416,5,25,140,6540,45
97.972,23:23:29.416,5,25,124,6524,45
97.972,23:23:29.417,5,25,140,6540,45
97.972,23:23:29.417,5,25,128,6528,45
97.972,23:23:29.417,5,25,114,6514,46
97.972,23:23:29.417,5,25,124,6524,46
97.972,23:23:29.418,5,25,162,6562,46
97.972,23:23:29.418,5,25,182,6582,46
97.972,23:23:29.418,5,25,232,6632,47
97.972,23:23:29.419,5,26,18,6674,47
98.541,23:23:29.983,5,26,156,6812,47
98.541,23:23:29.985,5,26,232,6888,47
98.541,23:23:29.985,5,27,112,7024,47
98.541,23:23:29.985,5,27,202,7114,47
98.541,23:23:29.986,5,28,206,7374,48
98.541,23:23:29.986,5,29,250,7674,48
98.541,23:23:29.986,5,32,252,8444,49
99.176,23:23:30.619,5,34,20,8724,50
99.176,23:23:30.619,5,34,230,8934,51
99.176,23:23:30.619,5,35,228,9188,51
99.176,23:23:30.620,5,37,0,9472,52
99.176,23:23:30.620,5,38,48,9776,52
99.176,23:23:30.620,5,39,92,10076,53
99.176,23:23:30.621,5,40,174,10414,53
99.176,23:23:30.621,5,41,216,10712,54
99.176,23:23:30.621,5,42,254,11006,54
99.176,23:23:30.622,5,44,170,11434,55
99.176,23:23:30.622,5,45,220,11740,55
99.176,23:23:30.622,5,47,22,12054,56
99.176,23:23:30.623,5,48,32,12320,56
99.853,23:23:31.296,5,49,108,12652,58
99.853,23:23:31.297,5,50,132,12932,58
99.853,23:23:31.297,5,51,74,13130,60
99.853,23:23:31.297,5,51,214,13270,60
99.853,23:23:31.298,5,52,76,13388,62
99.853,23:23:31.298,5,52,146,13458,62
99.853,23:23:31.298,5,52,224,13536,63
99.853,23:23:31.298,5,53,28,13596,63
99.853,23:23:31.299,5,53,34,13602,65
99.853,23:23:31.299,5,53,6,13574,65
99.853,23:23:31.299,5,53,10,13578,67
99.853,23:23:31.300,5,52,236,13548,67
99.853,23:23:31.300,5,52,234,13546,69
100.453,23:23:31.896,5,52,240,13552,69
100.453,23:23:31.897,6,53,2,13570,70
100.453,23:23:31.897,6,53,24,13592,70
100.453,23:23:31.897,6,53,28,13596,72
100.453,23:23:31.897,6,53,28,13596,72
100.453,23:23:31.897,6,53,16,13584,74
100.453,23:23:31.898,6,53,14,13582,74
100.453,23:23:31.898,6,53,14,13582,75
100.453,23:23:31.898,6,53,60,13628,75
100.453,23:23:31.898,6,53,92,13660,77
100.453,23:23:31.899,6,53,108,13676,77
100.453,23:23:31.899,6,53,140,13708,79
101.070,23:23:32.512,6,53,198,13766,81
101.070,23:23:32.513,6,53,244,13812,81
101.070,23:23:32.513,6,53,254,13822,83
101.070,23:23:32.514,6,54,32,13856,83
101.070,23:23:32.514,7,54,60,13884,85
101.070,23:23:32.514,7,54,128,13952,85
101.070,23:23:32.514,7,54,110,13934,86
101.070,23:23:32.515,7,54,158,13982,86
101.070,23:23:32.515,7,54,252,14076,88
101.070,23:23:32.515,7,55,20,14100,88
101.070,23:23:32.515,7,55,108,14188,90
101.070,23:23:32.517,7,55,174,14254,90
101.733,23:23:33.175,7,55,226,14306,92
101.733,23:23:33.176,7,56,24,14360,92
101.733,23:23:33.176,7,56,44,14380,94
101.733,23:23:33.176,7,56,164,14500,96
101.733,23:23:33.177,7,56,212,14548,96
101.733,23:23:33.177,7,57,4,14596,98
101.733,23:23:33.177,7,57,54,14646,100
101.733,23:23:33.177,7,57,116,14708,100
101.733,23:23:33.179,8,57,142,14734,102
101.733,23:23:33.179,8,57,164,14756,102
101.733,23:23:33.179,8,57,230,14822,104
102.399,23:23:33.841,8,57,238,14830,104
102.399,23:23:33.842,8,58,56,14904,106
102.399,23:23:33.842,8,58,158,15006,108
102.399,23:23:33.842,8,59,8,15112,108
102.399,23:23:33.843,8,59,98,15202,110
102.399,23:23:33.843,8,59,140,15244,110
102.399,23:23:33.843,8,59,172,15276,112
102.399,23:23:33.843,8,59,176,15280,112
102.399,23:23:33.844,8,59,222,15326,115
102.399,23:23:33.844,9,60,232,15592,117
102.399,23:23:33.844,9,61,128,15744,117
103.000,23:23:34.444,9,62,26,15898,119
103.000,23:23:34.444,9,62,168,16040,122
103.000,23:23:34.444,9,63,72,16200,122
103.000,23:23:34.445,9,63,144,16272,124
103.000,23:23:34.446,9,63,238,16366,124
103.000,23:23:34.446,9,64,98,16482,127
103.000,23:23:34.447,9,64,170,16554,127
103.000,23:23:34.447,9,65,2,16642,129
103.000,23:23:34.447,10,65,106,16746,131
103.000,23:23:34.447,10,65,242,16882,131
103.621,23:23:35.063,10,66,108,17004,134
103.621,23:23:35.065,10,66,240,17136,134
103.621,23:23:35.065,10,67,106,17258,137
103.621,23:23:35.065,10,68,6,17414,137
103.621,23:23:35.065,10,68,190,17598,140
103.621,23:23:35.066,10,70,16,17936,143
103.621,23:23:35.066,10,70,158,18078,143
103.621,23:23:35.066,10,70,252,18172,146
103.621,23:23:35.067,11,72,0,18432,149
103.621,23:23:35.067,11,72,120,18552,149
104.253,23:23:35.696,11,72,242,18674,152
104.253,23:23:35.697,11,73,182,18870,156
104.253,23:23:35.697,11,74,46,18990,159
104.253,23:23:35.697,11,74,174,19118,163
104.253,23:23:35.698,11,74,232,19176,163
104.253,23:23:35.698,11,75,68,19268,166
104.253,23:23:35.698,12,76,34,19490,169
104.253,23:23:35.699,12,76,218,19674,169
104.253,23:23:35.699,12,77,122,19834,173
104.853,23:23:36.297,12,78,162,20130,177
104.853,23:23:36.297,12,78,212,20180,177
104.853,23:23:36.297,12,79,88,20312,180
104.853,23:23:36.298,13,79,242,20466,184
104.853,23:23:36.298,13,80,112,20592,184
104.853,23:23:36.298,13,80,238,20718,188
104.853,23:23:36.299,13,81,210,20946,192
104.853,23:23:36.299,13,82,68,21060,192
104.853,23:23:36.299,13,82,204,21196,196
105.440,23:23:36.883,13,83,56,21304,200
105.440,23:23:36.884,13,83,212,21460,200
105.440,23:23:36.884,13,84,108,21612,204
105.440,23:23:36.885,14,84,224,21728,204
105.440,23:23:36.885,14,85,54,21814,208
105.440,23:23:36.886,14,85,192,21952,208
105.440,23:23:36.886,14,86,4,22020,213
105.440,23:23:36.886,14,86,254,22270,217
105.440,23:23:36.887,14,87,116,22388,217
105.440,23:23:36.887,14,87,138,22410,221
106.009,23:23:37.452,14,88,48,22576,221
106.009,23:23:37.453,15,88,186,22714,225
106.009,23:23:37.453,15,88,238,22766,225
106.009,23:23:37.453,15,89,80,22864,229
106.009,23:23:37.454,15,90,88,23128,234
106.009,23:23:37.454,15,90,104,23144,234
106.009,23:23:37.454,15,90,218,23258,238
106.009,23:23:37.455,15,91,146,23442,238
106.009,23:23:37.455,15,91,242,23538,242
106.009,23:23:37.455,15,92,112,23664,242
106.641,23:23:38.084,16,92,180,23732,247
106.641,23:23:38.085,16,93,88,23896,251
106.641,23:23:38.085,16,94,0,24064,251
106.641,23:23:38.085,16,94,146,24210,0
106.641,23:23:38.086,16,95,20,24340,0
106.641,23:23:38.086,16,95,184,24504,4
106.641,23:23:38.087,16,95,218,24538,8
106.641,23:23:38.087,16,96,0,24576,8
106.641,23:23:38.087,17,95,244,24564,13
106.641,23:23:38.088,17,95,242,24562,13
107.259,23:23:38.702,17,96,138,24714,17
107.259,23:23:38.703,17,97,62,24894,22
107.259,23:23:38.703,17,97,74,24906,22
107.259,23:23:38.704,17,97,122,24954,26
107.259,23:23:38.704,17,97,138,24970,26
107.259,23:23:38.704,17,97,138,24970,31
107.259,23:23:38.705,17,97,224,25056,31
107.259,23:23:38.705,18,98,18,25106,35
107.259,23:23:38.705,18,97,234,25066,35
107.259,23:23:38.706,18,97,228,25060,40
107.259,23:23:38.706,18,97,232,25064,40
107.259,23:23:38.706,18,97,236,25068,40
107.920,23:23:39.363,18,98,10,25098,40
107.920,23:23:39.364,18,98,38,25126,44
107.920,23:23:39.364,18,98,16,25104,44
107.920,23:23:39.364,18,97,178,25010,49
107.920,23:23:39.365,18,97,88,24920,49
107.920,23:23:39.365,19,97,252,25084,54
107.920,23:23:39.365,19,98,102,25190,54
107.920,23:23:39.366,19,98,204,25292,58
107.920,23:23:39.366,19,98,214,25302,63
107.920,23:23:39.366,19,99,182,25526,63
107.920,23:23:39.367,19,100,74,25674,68
108.518,23:23:39.961,19,101,62,25918,72
108.518,23:23:39.962,20,101,76,25932,72
108.518,23:23:39.962,20,101,212,26068,77
108.518,23:23:39.962,20,102,154,26266,77
108.518,23:23:39.963,20,103,106,26474,82
108.518,23:23:39.963,20,103,218,26586,82
108.518,23:23:39.963,20,104,24,26648,86
108.518,23:23:39.964,20,104,200,26824,86
108.518,23:23:39.964,20,105,62,26942,91
108.518,23:23:39.964,20,105,138,27018,91
108.518,23:23:39.964,20,106,64,27200,97
108.518,23:23:39.965,21,106,158,27294,97
109.090,23:23:40.532,21,107,162,27554,101
109.090,23:23:40.532,21,107,232,27624,101
109.090,23:23:40.533,21,108,24,27672,106
109.090,23:23:40.533,21,108,144,27792,106
109.090,23:23:40.533,21,109,94,27998,111
109.090,23:23:40.534,21,110,74,28234,111
109.090,23:23:40.534,21,110,158,28318,116
109.090,23:23:40.534,21,110,236,28396,116
109.090,23:23:40.535,22,111,28,28444,121
109.090,23:23:40.535,22,111,166,28582,121
109.090,23:23:40.535,22,111,200,28616,127
109.753,23:23:41.195,22,112,206,28878,127
109.753,23:23:41.196,22,113,172,29100,132
109.753,23:23:41.196,22,114,16,29200,132
109.753,23:23:41.197,22,114,90,29274,137
109.753,23:23:41.198,22,115,70,29510,143
109.753,23:23:41.198,22,115,252,29692,143
109.753,23:23:41.198,22,116,72,29768,149
109.753,23:23:41.199,23,116,186,29882,149
109.753,23:23:41.199,23,117,70,30022,155
109.753,23:23:41.199,23,117,178,30130,155
109.753,23:23:41.200,23,118,170,30378,161
109.753,23:23:41.200,23,118,240,30448,161
110.368,23:23:41.811,23,119,58,30522,167
110.368,23:23:41.812,23,119,254,30718,167
110.368,23:23:41.812,23,120,156,30876,173
110.368,23:23:41.812,24,121,42,31018,173
110.368,23:23:41.813,24,121,68,31044,180
